MGMT453 lecture,"['MW 4-5:50p']"
MRKT396 lecture,"['MW 2-3:50p']"
MRKT489 lecture,"['TR 8-9:50a']"
MRKT495 lecture,"['MW 8-9:50a', 'MW 10-11:50a']"
ED219 lecture,"['M 5-7:50p']"
ED483 lecture,"['M 2-4:50p']"
FES240 lecture,"['MWF 10-10:50a']"
FES241 lecture,"['TR 9-9:50a']"
FES341 lecture,"['MWF 10-10:50a']"
FES445 lecture,"['MW 2-3:50p']"
NR201 lecture,"['TR 10-11:20a']"
NR202 lecture,"['MW 4-5:20p']"
TRAL251 lecture,"['TR 12-1:50p']"
TRAL353 lecture,"['TR 2-3:50p']"
TRAL357 lecture,"['TR 10-11:20a']"
FE208 lecture,"['MWF 8-8:50a', 'MWF 9-9:50a']"
FE370 lecture,"['MWF 11-11:50a']"
FE434 lecture,"['MWF 8-8:50a']"
FE457 lecture,"['TR 8:30-9:50a']"
FE460 lecture,"['MW 6-7:20p']"
FOR111 lecture,"['MF 12-12:50p']"
FOR321 lecture,"['MWF 9-9:50a']"
FOR413 lecture,"['MW 12-12:50p']"
FOR436 lecture,"['MWF 10-10:50a']"
FOR457 lecture,"['TR 8:30-9:50a']"
WSE320 lecture,"['TR 11-11:50a']"
WSE321 lecture,"['MF 2-2:50p']"
PHAR210 lecture,"['F 3-4:50p']"
PHAR720 lecture,"['MW 9-9:50a']"
PHAR729 lecture,"['F 12-1:50p']"
PHAR735 lecture,"['MWF 11-11:50a']"
PHAR738 lecture,"['TR 8:30-9:50a']"
PHAR740 lecture,"['M 8-8:50a']"
PHAR752 lecture,"['MWF 12-1:50p; TR 12-12:50p']"
PHAR761 lecture,"['MTWR 9-10:50a; F 9-9:50a']"
ART100 lecture,"['F 12-12:50p']"
ART204 lecture,"['MWF 12-12:50p']"
ART320 lecture,"['MWF 2-2:50p']"
ART367 lecture,"['TR 2-3:20p']"
ART462 lecture,"['TR 5-6:20p']"
COMM111 lecture,"['M 1-1:50p', 'M 2-2:50p', 'MWF 1-1:50p', 'MWF 4-4:50p', 'TR 4-5:20p']"
COMM114 lecture,"['M 11-11:50a']"
COMM218 lecture,"['MWF 11-11:50a', 'MWF 3-3:50p', 'MWF 9-9:50a', 'MWF 9-9:50a', 'TR 10-11:20a', 'MWF 11-11:50a', 'MWF 10-10:50a', 'TR 2-3:20p', 'TR 12-1:20p', 'MWF 1-1:50p', 'MWF 2-2:50p', 'T 4-6:50p', 'TR 3-4:20p']"
COMM312 lecture,"['MWF 10-10:50a']"
COMM320 lecture,"['TR 12-1:20p']"
COMM321 lecture,"['TR 10-11:20a']"
COMM326 lecture,"['TR 2-3:20p']"
COMM372 lecture,"['T 4-6:50p']"
COMM399 lecture,"['MWF 11-11:50a']"
COMM414 lecture,"['TR 10-11:20a']"
COMM440 lecture,"['M 6-8:50p']"
COMM540 lecture,"['M 6-8:50p']"
MUS111 lecture,"['MW 12-1:20p']"
MUS121 lecture,"['TR 8:30-9:50a', 'MWF 11-11:50a', 'MWF 11-11:50a']"
MUS221 lecture,"['MWF 9-9:50a']"
MUS315 lecture,"['TR 10-10:50a']"
MUS324 lecture,"['MWF 10-10:50a']"
MUS399 lecture,"['MW 8-9:20a', 'R 4-4:50p']"
