BA275 lecture,['MW 2-3:50p', 'TR 8-9:50a', 'TR 10-11:50a']
BA280 lecture,['MW 9-9:50a', 'T 4-5:50p']
BA281 lecture,['MW 12-1:20p', 'MW 2-3:20p', 'TR 4-5:20p', 'TR 5:30-6:50p']
BA282 lecture,[]
BA290 lecture,[]
BA311 lecture,[]
BA314 lecture,[]
BA315 lecture,['MW 12-1:50p']
BA330 lecture,[]
BA333 lecture,[]
BA347 lecture,['TR 12-1:50p']
BA351 lecture,['MW 2-3:50p']
BA352 lecture,['MW 10-11:50a']
BA354 lecture,['MW 10-11:50a', 'MW 2-3:50p', 'TR 10-11:50a', 'TR 12-1:50p', 'TR 4-5:50p']
BA357 lecture,['TR 8-9:50a', 'TR 10-11:50a', 'TR 2-3:50p']
BA360 lecture,[]
BA362 lecture,[]
BA365 lecture,[]
BA370 lecture,['MW 12-1:50p', 'TR 8-9:50a', 'TR 12-1:50p']
BA375 lecture,['MW 8-9:50a', 'MW 10-11:50a', 'TR 12-1:50p', 'TR 4-5:50p']
BA376 lecture,[]
BA381 lecture,['MW 8-9:50a', 'MW 10-11:50a', 'TR 12-1:50p']
BA390 lecture,['MW 2-3:50p']
BA405 lecture,[]
BA406 lecture,[]
BA407 lecture,[]
BA451 lecture,[]
BA460 lecture,['TR 2-3:50p']
BA464 lecture,[]
BA466 lecture,['TR 12-1:50p', 'TR 2-3:50p']
BA516 lecture,[]
BA528 lecture,[]
BA540 lecture,['W 6-8:50p']
BA550 lecture,['R 12-2:50p', 'R 6-8:50p']
BA551 lecture,[]
BA555 lecture,['T 6-8:50p']
BA562 lecture,[]
BA569 lecture,['M 12-2:50p', 'M 6-8:50p']
BA573 lecture,[]
BA590 lecture,['M 3-5:50p']
DSGN121 lecture,[]
DSGN226 lecture,['MW 12-1:50p']
DSGN244 lecture,[]
DSGN255 lecture,['TR 12-1:50p', 'TR 2-3:50p']
DSGN276 lecture,[]
DSGN281 lecture,[]
DSGN282 lecture,[]
DSGN287 lecture,[]
DSGN330 lecture,['MW 10-11:50a', 'MW 12-1:50p']
DSGN333 lecture,[]
DSGN341 lecture,['MW 10-11:50a']
DSGN427 lecture,['TR 11-11:50a']
DSGN428 lecture,[]
DSGN464 lecture,['MW 4-5:20p']
DSGN472 lecture,[]
DSGN475 lecture,[]
FIN340 lecture,[]
FIN342 lecture,[]
FIN441 lecture,[]
FIN443 lecture,[]
FIN444 lecture,[]
FIN445 lecture,[]
FIN499 lecture,[]
HM101 lecture,[]
MGMT364 lecture,['MW 12-1:50p', 'MW 2-3:50p']
MGMT448 lecture,[]
MGMT453 lecture,['MW 4-5:50p']
MRKT390 lecture,[]
MRKT396 lecture,['MW 2-3:50p']
MRKT484 lecture,[]
MRKT486 lecture,[]
MRKT489 lecture,['TR 8-9:50a']
MRKT492 lecture,[]
MRKT493 lecture,[]
MRKT495 lecture,['MW 8-9:50a', 'MW 10-11:50a']
AHE553 lecture,[]
AHE611 lecture,[]
AHE643 lecture,[]
COUN441 lecture,[]
COUN533 lecture,[]
COUN550 lecture,[]
COUN562 lecture,[]
COUN662 lecture,[]
ED219 lecture,['M 5-7:50p']
ED253 lecture,[]
ED411 lecture,[]
ED420 lecture,[]
ED472 lecture,[]
ED476 lecture,[]
ED479 lecture,[]
ED483 lecture,['M 2-4:50p']
ED510 lecture,[]
ED520 lecture,[]
ED551 lecture,[]
ED566 lecture,[]
ED572 lecture,[]
FES240 lecture,['MWF 10-10:50a']
FES241 lecture,['TR 9-9:50a']
FES341 lecture,['MWF 10-10:50a']
FES342 lecture,[]
FES350 lecture,[]
FES355 lecture,[]
